Label,#Samples,timeStamp,(Average) Response Time
monolith-avg-first,27853,1557919957637,29
monolith-avg-last,27853,1557920130618,29
failover,1,1557920130636,17
failover,1,1557920130638,26
failover,1,1557920130639,29
failover,1,1557920130641,57
failover,1,1557920130642,31
failover,1,1557920133656,3016
failover,1,1557920133667,3030
failover,1,1557920133668,3026
failover,1,1557920133742,3099
failover,1,1557920133786,3147
failover,1,1557920133808,150
failover,1,1557920133820,151
failover,1,1557920133850,181
failover,1,1557920133938,195
failover,1,1557920133942,133
parachute-avg-first,43784,1557920133964,26
parachute-avg-last,43784,1557920377984,26
restore,1,1557920377988,17
restore,1,1557920377996,18
restore,1,1557920378001,19
restore,1,1557920378006,17
restore,1,1557920378008,23
restore,1,1557920378013,6014
restore,1,1557920378016,19
restore,1,1557920378018,16
restore,1,1557920378028,19
restore,1,1557920378041,34
restore,1,1557920378399,370
restore,1,1557920378405,386
restore,1,1557920378422,407
restore,1,1557920378458,441
restore,1,1557920378518,476
post-avg-first,12469,1557920378810,43
post-avg-last,12469,1557920490541,43
