Label,#Samples,timeStamp,(Average) Response Time,Error (in %)
monolith-avg-first,23350,1557921455798,33,0
monolith-avg-last,23350,1557921616744,33,0
failover,1,1557921616772,27,1
failover,1,1557921616773,65,0
failover,1,1557921616774,65,0
failover,1,1557921616775,60,0
failover,1,1557921616776,38,0
failover,1,1557921616826,51,0
failover,1,1557921616848,21,0
failover,1,1557921619696,2919,0
failover,1,1557921619708,2931,0
failover,1,1557921619853,3075,0
failover,1,1557921619856,147,0
failover,1,1557921619860,3083,0
failover,1,1557921619863,3014,0
failover,1,1557921619885,188,0
failover,1,1557921619988,102,0
failover,1,1557921620013,148,0
failover,1,1557921620015,154,0
failover,1,1557921620017,160,0
parachute-avg-first,44434,1557921620021,26,0
parachute-avg-last,44434,1557921864037,26,0
restore,1,1557921864041,20,0
restore,1,1557921864041,16,0
restore,1,1557921864050,19,0
restore,1,1557921864058,20,0
restore,1,1557921864062,20,0
restore,1,1557921864064,6053,0
restore,1,1557921864065,22,0
restore,1,1557921864068,17,0
restore,1,1557921864077,18,0
restore,1,1557921864079,16,0
restore,1,1557921864336,258,0
restore,1,1557921864338,272,0
restore,1,1557921864372,307,0
restore,1,1557921864381,312,0
restore,1,1557921864386,306,0
post-avg-first,11833,1557921864550,46,0
post-avg-last,11833,1557921976375,46,0
