timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557922707874,45,200,true,,1933,1573,45,0,0
1557922707886,24,502,false,"Test failed: code expected to equal /

****** received  : [[[502]]]

****** comparison: [[[200]]]

/",330,1572,24,0,0
1557922707889,33,502,false,"Test failed: code expected to equal /

****** received  : [[[502]]]

****** comparison: [[[200]]]

/",330,1575,33,0,0
1557922707890,56,200,true,,1930,1578,56,0,1
1557922707888,13,502,false,"Test failed: code expected to equal /

****** received  : [[[502]]]

****** comparison: [[[200]]]

/",330,1579,13,0,1
1557922707897,37,502,false,"Test failed: code expected to equal /

****** received  : [[[502]]]

****** comparison: [[[200]]]

/",330,1576,37,0,0
1557922707930,33,200,true,,2685,1576,33,0,1
1557922707932,34,200,true,,2697,1572,34,0,1
1557922707933,42,200,true,,2665,1575,42,0,2
1557922707956,22,200,true,,2677,1577,22,0,0
1557922707957,26,200,true,,2677,1572,26,0,3
1557922707960,26,200,true,,2673,1570,26,0,0
1557922710739,2842,200,true,,2685,1577,2842,0,1
1557922710914,173,200,true,,2681,1575,173,0,0
1557922710933,2975,200,true,,2669,1573,2975,0,3
1557922710942,2981,200,true,,2673,1572,2981,0,0
1557922710948,3050,200,true,,2685,1575,3050,0,0
1557922710955,2997,200,true,,2677,1572,2997,0,2
1557922711036,120,200,true,,2689,1572,120,0,0
1557922711095,152,200,true,,2665,1578,152,0,0
1557922711098,163,200,true,,2689,1576,163,0,0
1557922711105,156,200,true,,2673,1574,156,0,1
1557922711110,153,200,true,,2689,1575,153,0,1
