timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557925095995,22,200,true,,2673,1579,22,0,1
1557925096007,18,200,true,,2677,1569,18,0,0
1557925096013,18,200,true,,2673,1574,18,0,0
1557925096015,19,200,true,,2685,1573,19,0,0
1557925096019,25,200,true,,2689,1580,25,0,1
1557925096026,1020,200,true,,1927,1570,1020,0,0
1557925096029,21,200,true,,2689,1571,21,0,1
1557925096035,19,200,true,,2677,1565,19,0,0
1557925096036,16,200,true,,2681,1572,16,0,0
1557925096053,39,200,true,,2673,1574,39,0,0
1557925096281,254,200,true,,1930,1572,254,0,1
1557925096283,246,200,true,,1919,1574,246,0,0
1557925096332,295,200,true,,1931,1576,295,0,0
1557925096334,280,200,true,,1933,1574,280,0,0
1557925096352,322,200,true,,1921,1570,322,0,0
